CONDITION,CRITERIA,PLAN TO APPLY FOR
Activities of Daily Living,"Require assistance (from anyone) with bathing, dressing, eating, or toileting",No Coverage
AIDS / HIV,Been medically treated or diagnosed by a medical professional as having,No Coverage
Alcoholism/ Alcohol Abuse,"Within the past 2 years abused alcohol or had, or been recommended to have, treatment or counseling for alcohol use or been advised to discontinue use of alcohol",Return of Premium
Alzheimer’s disease,Been medically diagnosed,No Coverage
Amputation,Have had an amputation caused by disease,No Coverage
Amyotrophic Lateral Sclerosis (ALS) / (Lou Gehrig's Disease),Been medically diagnosed,No Coverage
Aneurysm,Within the last 2 years,Return of Premium
Aneurysm,"Medically diagnosed or treated, or hospitalized within the past 3 years",Graded
Angina (Chest Pain),Medically diagnosed or treated within the past 2 years,Return of Premium
Angina (Chest Pain),"Medically diagnosed or treated, or hospitalized within the past 3 year",Graded
Angioplasty,Within the past 2 years,Return of Premium
Angioplasty,Within the past 3 years,Graded
Bed Confinement,Currently confined to a bed,No Coverage
Cancer/ (excluding basal cell skin cancer),Currently have cancer,No Coverage
Cancer/ (excluding basal cell skin cancer),More than one occurrence in a lifetime,Return of Premium
Cancer/ (excluding basal cell skin cancer),"Within the past 2 years been medically diagnosed, treated, or taken medication for any form of cancer",Return of Premium
Cancer/ (excluding basal cell skin cancer),"Within the past 3 years been medically diagnosed or treated, or hospitalized for or taken medication for any form of cancer",Graded
Cardiomyopathy,"Have ever been medically diagnosed, treated for",Return of Premium
Catheterization (Heart),Within the past 2 years,Return of Premium
Chronic Bronchitis,See Chronic Obstructive Pulmonary Disease (COPD).,
Chronic Hepatitis,Medically diagnosed or treated within the past 2 years,Return of Premium
Chronic Kidney Disease,"Diagnosed, treated or taken medication for",Return of Premium
Chronic Pancreatitis,Medically diagnosed or treated within the past 2 years,Return of Premium
Chronic Obstructive Pulmonary Disease (COPD),Medically diagnosed or treated within the past 2 years,Return of Premium
Chronic Obstructive Pulmonary Disease (COPD),"Been medically diagnosed or treated, or hospitalized for, or taken medication for within the past 3 years",Graded
Circulatory Surgery,Within the past 2 years,Return of Premium
Circulatory Surgery,Within the past 3 years,Graded
Cirrhosis of the Liver,Medically diagnosed or treated within the past 2 years,Return of Premium
Cirrhosis of the Liver,"Medically diagnosed or treated, or hospitalized within the past 3 years",Graded
Congestive Heart Failure (CHF),Been medically diagnosed,No Coverage
Coronary Artery Bypass Surgery,Within the last 2 years,Return of Premium
Coronary Artery Bypass Surgery,Within the past 3 years,Graded
Defibrillator,Inserted within the past 2 years,Return of Premium
Dementia,Been medically diagnosed,No Coverage
Diabetes,"Combined with any medical history of any of the following: Retinopathy, Nephropathy, Neuropathy",Return of Premium
Diabetes,Taken Insulin shots prior to age 50,Return of Premium
Diabetes,Treated for insulin shock or diabetic coma,Return of Premium
"Diagnostic Testing, Surgery, or Hospitalization",Recommended within the past 2 years by a medical professional which has not been completed or for which the results have not been received,Return of Premium
Drug Abuse / Addiction,Used illegal drugs or abused drugs or had been recommended to have treatment or counseling for drug use or been advised to discontinue use of drugs within the past 2 years,Return of Premium
Emphysema,See Chronic Obstructive Pulmonary Disease (COPD),
Heart Attack,Within the past 2 years,Return of Premium
Heart Attack,Within the past 3 years,Graded
Heart Surgery,Had or been medically advised to have within the past 2 years,Return of Premium
Heart Surgery,"Medically diagnosed or treated, or hospitalized within the past 3 years",Graded
Hepatitis C,Medically diagnosed or treated within the past 2 years,Return of Premium
Hepatitis C,"Been medically diagnosed or treated, or hospitalized for, or taken medication for within the past 3 years",Graded
Home Health Care,Currently receiving,No Coverage
Hospice Care,Currently receiving,No Coverage
Hospitalization,Currently hospitalized,No Coverage
Kidney Dialysis,Had or been medically advised to have,No Coverage
Kidney Failure,"Medically diagnosed, treated or taken medication for",Return of Premium
Liver Disease,"Medically diagnosed, treated or taken medication for liver failure",No Coverage
Liver Disease,"Been medically diagnosed or treated, or hospitalized for, or taken medication for within the past 3 years",Graded
Mental Incapacity,Been medically diagnosed,No Coverage
Multiple Sclerosis (MS),"Been medically diagnosed or treated, or hospitalized for within the past 3 years",Graded
Muscular Dystrophy,"Been medically diagnosed or treated, or hospitalized for within the past 3 years",Graded
Nursing Facility,Currently confined,No Coverage
Organ Transplant,Had or been medically advised to have,No Coverage
Oxygen Equipment,Currently used to assist in breathing,No Coverage
Oxygen Equipment,Have been required to use oxygen equipment to assist in breathing within the past 2 years,Return of Premium
Pacemaker,Inserted within the past 2 years,Return of Premium
Paralysis,"Been medically diagnosed or treated, or hospitalized for paralysis of two or more extremities within the past 3 years",Graded
Parkinson's Disease,"Been medically diagnosed or treated, or hospitalized for within the past 3 years",Graded
Renal Insufficiency,"Diagnosed, treated or taken medication for",Return of Premium
Respiratory Failure,Been medically diagnosed,No Coverage
Seizures,"Been medically diagnosed or treated, or hospitalized for within the past 3 years",Graded
Stroke,Medically diagnosed within the past 2 years,Return of Premium
Stroke,Medically diagnosed or hospitalized within the past 3 years,Graded
Systemic Lupus (SLE),"Been medically diagnosed, treated for within the past 2 years",Return of Premium
Terminal Medical Condition or End Stage Disease,Been diagnosed or treated with condition that is expected to result in death in the next 12 months,No Coverage
TIA (Transient Ischemic Attack),Medically diagnosed within the past 2 years,Return of Premium
TIA (Transient Ischemic Attack),Medically diagnosed or hospitalized within the past 3 years,Graded
Ulcerative Colitis,"Medically diagnosed or treated, or hospitalized for or taken medication for within the past 3 years",Graded
Wheelchair Use,Currently confined to a wheelchair due to chronic illness or disease,No Coverage
