CONDITION,CRITERIA,PLAN TO APPLY FOR
AIDS/HIV/ARC,,DECLINE
AFIB - ATRIAL FIBRILLATION / IRREGULAR HEARTBEAT,Within 2 yrs ,Graded
ALCOHOL / DRUG ABUSE,Within 2 yrs ,Graded
ALS (LOU GEHRIG'S),,DECLINE
ALZHEIMER'S / DEMENTIA / MEMORY LOSS / COGNITIVE,,DECLINE
AMPUTATION,Due to Diabetes,DECLINE
ANEURYSM,Not Asked ,Allowed
ANGINA (CHEST PAIN),Within 1 yrs,DECLINE
ANGINA (CHEST PAIN),Within 2 yrs ,Graded
ANGIOPLASTY,Within 1 yrs,DECLINE
ANGIOPLASTY,Within 2 yrs ,Graded
ARTHRITIS ,Not Asked ,Allowed
"ASSISTED LIVING / LONG TERM
CARE FACILITY ",Current,DECLINE
ASTHMA (CHRONIC),Not Asked ,Allowed
AUTISM,,DECLINE
BIPOLAR,Within 4 yrs ,Graded
BLACK LUNG,Not Asked ,Allowed
BLOOD CLOTS,,See Stent
"BLOOD DISORDER - POLYCYTHEMIA, THROMBOCYTOPENIA, HEMOPHILIA COAGULATION DISORDERS",Not Asked ,Allowed
BONE MARROW TRANSPLANT,,DECLINE
BRONCHITIS (CHRONIC,,Graded
CANCER (OTHER THAN BASAL CELL),"Less than 2 yrs, Metastatic or Recurring",DECLINE
CANCER (OTHER THAN BASAL CELL),WIthin 2 - 4 yrs,Graded
CANCER (OTHER THAN BASAL CELL),More than 4 years,Allowed
CEREBRAL PALSY,Not Asked ,Allowed
CHRONIC PAIN (6 OR MORE FILLS OF NARCOTIC PAIN PRESCRIPTIONS),,"Check Med List"
CIRRHOSIS,,DECLINE
CONGESTIVE HEART FAILURE / HEART FAILURE DIASTOLIC HEART FAILURE,,DECLINE
CORONARY ARTERY DISEASE,Within 1 yrs,DECLINE
CORONARY ARTERY DISEASE,Within 2 yrs,Graded
COPD,,Graded
CROHN'S DISEASE,Not Asked ,Allowed
CYSTIC FIBROSIS,,Graded
DEMENTIA,,DECLINE
DEPRESSION,Bipolar within 4 years,Graded
DIABETES,Diagnosed / treated prior to age 50,"Graded  (see
diabetic complications)"
"DIABETIC COMPLICATIONS (INSULIN SHOCK, COMA, RETINOPATHY, NEPHROPATHY, NEUROPATHY)","Insulin shock, diabetic
coma",DECLINE
"DIABETIC COMPLICATIONS (INSULIN SHOCK, COMA, RETINOPATHY, NEPHROPATHY, NEUROPATHY)","Retinopathy,
Nephropathy,
Neuropathy",Graded
DIALYSIS,,DECLINE
DOWN'S SYNDROME,,DECLINE
DUI,Not Asked ,Allowed
EMPHYSEMA (CHRONIC),,Graded
EPILEPSY/SEIZURES,Not Asked ,Allowed
FELONY,Convicted within 2 years or awaiting trial,Graded
HEART ATTACK,Within 1 yrs,DECLINE
HEART ATTACK,Within 2 yrs,Graded
HEART SURGERY,Within 1 yrs,DECLINE
HEART SURGERY,Within 2 yrs,Graded
HEART VALVE REPLACEMENT,Within 1 yrs,DECLINE
HEART VALVE REPLACEMENT,Within 2 yrs,Graded
HEPATITIS A,Not Asked ,Allowed
HEPATITIS B,Not Asked ,Allowed
HEPATITIS C,,Graded
HUNTINGTON'S DISEASE,,DECLINE
IRREGULAR HEARTBEAT,Within 2 yrs,Graded
ILLEGAL DRUGS,Within 2 yrs,Graded
JAIL / INCARCERATED,,DECLINE
KIDNEY DISEASE / DISORDER / FAILURE (ALSO SEE DIALYSIS),,DECLINE
LIVER DISEASE,Cirrhosis,DECLINE
LUPUS (SYSTEMIC LUPUS ERYTHEMATOSUS),Within 4 yrs systemic,Graded
MELANOMA,Within 2 yrs,DECLINE
MELANOMA,Within 4 yrs,Graded
MENTAL INCAPACITY / RETARDATION,Not Asked ,Allowed
MULTIPLE SCLEROSIS (MS) ,Within 4 yrs,Graded
NEUROPATHY,Due to diabetes prior to age 50,Graded
NEUROPATHY,Not due to diabetes,Allowed
OXYGEN,,DECLINE
PACEMAKER / DEFIBRILLATOR IMPLANT,Not specifically asked but check meds / heart conditions,could be Graded
PANCREATITIS,Not Asked ,Allowed
PARKINSON'S DISEASE,Within 4 yrs,Graded
PAROLE / PROBATION (CURRENTLY),2 yrs convicted or awaiting trial,Graded
PAD / PVD,,Graded
PTSD,Not Asked ,Allowed
PULMONARY FIBROSIS,Ask about oxygen,
RHEUMATOID ARTHRITIS,Not Asked ,Allowed
SARCOIDOSIS,,Graded
SCHIZOPHRENIA,Treated/diagnosed within 4 yrs,Graded
SEIZURES,Not Asked ,Allowed
SICKLE CELL ANEMIA,,DECLINE
SLEEP APNEA,,Graded
STENT,Within 1 yrs,DECLINE
STENT,Within 2 yrs ,Graded
STROKE / TIA ATTACK,Within 2 yrs ,Graded
TERMINAL ILLNESS,Death in the next 12 months,DECLINE
ORGAN TRANSPLANT,,DECLINE
TUBERCULOSIS,Not Asked ,Allowed
ULCERATIVE COLITIS,Not Asked ,Allowed
WALKER,Not Asked ,
WHEELCHAIR / ELECTRIC SCOOTER / ELECTRIC CART,Due to Illness or Disease,DECLINE
